symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,net_pnl_before_funding_krw,fold
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-05-04 05:15:00+00:00,2026-05-04 06:15:00+00:00,90,1,30000,12000.0,60000.0,80217.84655,-771.7639249342805,-628.5181467103329,143.24577822394758,179.05621149058453,-6.431366041119004,STOP,5,0.0,-771.7639249342805,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-05-04 18:45:00+00:00,2026-05-06 14:00:00+00:00,90,3,30000,30000.0,150000.0,80946.03599163814,570.0003859008245,872.2228491231972,361.0466674189478,451.3113122255554,1.9000012863360818,STOP,173,58.824204196575046,511.1761817042495,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-05-11 13:30:00+00:00,2026-05-11 13:30:00+00:00,90,1,30000,12000.0,60000.0,81232.76665,-527.9431547173612,-384.40444004541564,143.5387146719455,179.42293213153093,-4.399526289311343,STOP,1,0.0,-527.9431547173612,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-05-18 03:30:00+00:00,2026-05-18 11:30:00+00:00,90,1,30000,12000.0,60000.0,76823.7912,-635.8059316208761,-497.2244145670148,144.59666929748042,180.74512454343952,-5.2983827635073,STOP,32,6.015152243619032,-641.8210838644951,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-05-26 22:15:00+00:00,2026-05-27 15:15:00+00:00,85,1,30000,12000.0,60000.0,75646.06045,118.30605422635026,255.49474070050985,143.69340631115938,179.61773689202187,0.9858837852195854,STOP,69,6.504719836999785,111.80133438935047,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,LONG,BULL,2026-05-04 05:15:00+00:00,2026-05-04 06:15:00+00:00,100,1,30000,12000.0,60000.0,80217.84655,-771.7639249342805,-628.5181467103329,143.24577822394758,179.05621149058453,-6.431366041119004,STOP,5,0.0,-771.7639249342805,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,LONG,BULL,2026-05-04 18:45:00+00:00,2026-05-06 14:00:00+00:00,100,3,30000,30000.0,150000.0,80879.23583797272,578.3015224485617,872.7913636933422,361.04734963643193,451.31216627848823,1.9276717414952058,STOP,173,66.55750839165157,511.7440140569102,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,LONG,BULL,2026-05-11 01:30:00+00:00,2026-05-11 02:15:00+00:00,90,1,30000,12000.0,60000.0,81707.27735,-667.7833549787799,-524.4126501589707,143.37070481980925,179.21260432466568,-5.564861291489833,STOP,4,0.0,-667.7833549787799,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,LONG,BULL,2026-05-11 13:30:00+00:00,2026-05-11 13:30:00+00:00,100,1,30000,12000.0,60000.0,81232.76665,-527.9431547173612,-384.40444004541564,143.5387146719455,179.42293213153093,-4.399526289311343,STOP,1,0.0,-527.9431547173612,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,SHORT,BEAR,2026-05-16 12:30:00+00:00,2026-05-16 14:45:00+00:00,90,1,30000,12000.0,60000.0,77862.93015,-531.604812556077,-387.1402442629615,144.46456829311552,180.58024560639404,-4.430040104633975,STOP,10,0.0,-531.604812556077,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,SHORT,BEAR,2026-05-18 03:30:00+00:00,2026-05-18 11:30:00+00:00,100,1,30000,12000.0,60000.0,76823.7912,-635.8059316208761,-497.2244145670148,144.59666929748042,180.74512454343952,-5.2983827635073,STOP,32,6.015152243619032,-641.8210838644951,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,SHORT,BEAR,2026-05-19 12:15:00+00:00,2026-05-20 05:00:00+00:00,90,1,30000,12000.0,60000.0,76641.66480000001,-544.6648075781002,-411.43015277153086,144.49371618332583,180.61662589871673,-4.538873396484168,STOP,68,11.259061376756522,-555.9238689548567,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,SHORT,BEAR,2026-05-22 23:00:00+00:00,2026-05-23 13:45:00+00:00,85,2,30000,21000.0,105000.0,75398.29335495118,161.21801008894792,406.94110190076174,251.51167067771908,314.3912113448629,0.767704809947371,STOP,60,5.788578865905303,155.42943122304263,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,FUNDING_MARK_FILTER,SHORT,BEAR,2026-05-26 22:15:00+00:00,2026-05-27 15:15:00+00:00,95,1,30000,12000.0,60000.0,75646.06045,118.30605422635026,255.49474070050985,143.69340631115938,179.61773689202187,0.9858837852195854,STOP,69,6.504719836999785,111.80133438935047,FOLD_A_OLDEST_HOLDOUT
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-05-29 15:00:00+00:00,2026-05-29 15:00:00+00:00,90,1,30000,12000.0,60000.0,72956.90025,-701.4932538346158,-556.825063758106,144.66819007650972,180.83439161662125,-5.845777115288465,STOP,1,0.0,-701.4932538346158,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-05-29 22:45:00+00:00,2026-05-30 14:00:00+00:00,85,1,30000,12000.0,60000.0,73328.34225,-637.501672437976,-500.9576042977635,144.6011491251573,180.750715940949,-5.312513936983134,STOP,62,8.057080984944808,-645.5587534229209,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-01 10:00:00+00:00,2026-06-01 15:15:00+00:00,85,1,30000,12000.0,60000.0,72759.19725,723.6068013229738,866.5669210177524,142.96011969477868,178.7025014746801,6.030056677691448,TP3_4.0R,22,0.0,723.6068013229738,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-01 22:30:00+00:00,2026-06-02 03:00:00+00:00,90,1,30000,12000.0,60000.0,71157.20385,131.9734598352091,269.64144995333277,143.676430260056,179.59654861056725,1.0997788319600759,STOP,18,6.008440141932306,125.9650196932768,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-03 04:15:00+00:00,2026-06-03 05:00:00+00:00,90,1,30000,12000.0,60000.0,66210.83455,-1030.2126682714502,-885.1504876862268,145.06218058522347,181.32614212676168,-8.585105568928752,STOP,4,0.0,-1030.2126682714502,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-03 14:15:00+00:00,2026-06-03 21:45:00+00:00,85,1,30000,12000.0,60000.0,66775.58615,802.8062657377753,939.734750027683,142.87231829996676,178.59291411219633,6.690052214481461,STOP,31,5.943834010059079,796.8624317277163,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-04 02:45:00+00:00,2026-06-04 04:00:00+00:00,90,1,23300,9320.0,46600.0,63273.64695,-1132.597217001935,-1019.5337764701708,113.0634405317642,141.32732470018732,-12.1523306545272,STOP,6,0.0,-1132.597217001935,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-04 08:00:00+00:00,2026-06-04 14:00:00+00:00,95,2,28900,20230.0,101150.0,63156.07471749191,-2462.8348107968495,-2217.4139140999296,245.4208966969199,306.77182192644136,-12.174171086489617,STOP,25,0.0,-2462.8348107968495,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-05 01:15:00+00:00,2026-06-05 07:30:00+00:00,85,3,30000,30000.0,150000.0,62652.2930719277,661.9938608461653,1020.7689381204207,358.77507727425547,448.4721523852757,2.206646202820551,STOP,26,0.0,661.9938608461653,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-05 13:30:00+00:00,2026-06-05 20:00:00+00:00,90,1,30000,12000.0,60000.0,61987.77865000001,1220.865077400001,1361.9520868505338,142.36565749577935,177.96053667312387,10.173875645000008,STOP,27,1.278648045246577,1219.5864293547543,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-06 02:30:00+00:00,2026-06-07 01:15:00+00:00,85,1,30000,12000.0,60000.0,60682.33975000001,-1105.6033666710357,-957.8627127078753,145.14943525524944,181.43504710681304,-9.213361388925298,STOP,91,-2.591218707910814,-1103.0121479631248,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-09 22:30:00+00:00,2026-06-10 13:30:00+00:00,85,2,30000,21000.0,105000.0,61435.0206724536,-1780.9601085823163,-1521.926747059802,253.82631209647175,317.2801796658106,-8.480762421820554,STOP,60,-5.207049426042507,-1775.7530591562738,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-06-15 10:15:00+00:00,2026-06-15 12:00:00+00:00,85,1,30000,12000.0,60000.0,65802.3557,75.07186974508937,219.3350718312869,144.26320208619754,180.3299018539289,0.6255989145424115,STOP,8,0.0,75.07186974508937,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,LONG,BULL,2026-06-16 10:00:00+00:00,2026-06-16 13:00:00+00:00,90,1,30000,12000.0,60000.0,66582.02345000001,-538.1777869375551,-394.6513685798509,143.52641835770416,179.407538648512,-4.484814891146292,STOP,13,0.0,-538.1777869375551,FOLD_B_MIDDLE
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-06-19 04:30:00+00:00,2026-06-19 13:30:00+00:00,95,1,30000,12000.0,60000.0,62601.65645,-664.73363700932,-519.8096892995196,144.62377162715944,180.7789517147902,-5.5394469750776665,STOP,37,-0.3001760826410209,-664.433460926679,FOLD_B_MIDDLE
