symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,funding_model,funding_observed,fold
ETHUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-14 20:00:00+00:00,2026-01-15 02:30:00+00:00,90,1,27100,10840.0,54200.0,3371.12912,-1113.232378917322,-984.3335792123768,128.89879970494513,161.12164740433673,-10.269671392226218,STOP,27,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-11-27 21:00:00+00:00,2025-11-27 22:00:00+00:00,90,1,30000,12000.0,60000.0,142.61159700000002,-722.6932774875814,-579.3885437400695,143.30473374751193,179.13001660271533,-6.022443979063179,STOP,5,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_A_OLDEST
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-12-04 01:30:00+00:00,2025-12-04 05:45:00+00:00,90,1,26200,10480.0,52400.0,145.401776,-1116.5173492575261,-991.9476864813038,124.56966277622243,155.71019693592905,-10.653791500548913,STOP,18,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_B_MIDDLE
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-03 17:30:00+00:00,2026-01-04 01:30:00+00:00,85,2,30000,21000.0,105000.0,132.29212106863412,739.6251685854457,992.816548443578,253.19137985813225,316.4921707672745,3.5220246123116463,STOP,33,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-04 08:45:00+00:00,2026-01-04 19:00:00+00:00,85,2,30000,21000.0,105000.0,134.5664414507766,-1567.2410375092913,-1316.8212229768635,250.41981453242775,313.0225096184398,-7.4630525595680535,STOP,42,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-06 01:30:00+00:00,2026-01-06 15:45:00+00:00,85,1,30000,12000.0,60000.0,138.5384965,1092.6272264375762,1238.1129619919666,145.48573555439035,181.86036438297805,9.105226886979802,STOP,57,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-07 00:30:00+00:00,2026-01-07 01:15:00+00:00,90,1,30000,12000.0,60000.0,140.99818050000002,-935.5093857124377,-792.4603381181795,143.04904759425818,178.80992877940378,-7.795911547603648,STOP,4,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-09 07:30:00+00:00,2026-01-09 08:00:00+00:00,95,1,30000,12000.0,60000.0,140.654666,-806.9515401468973,-663.748037792248,143.2035023546493,179.00328726762177,-6.724596167890811,STOP,3,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-13 15:15:00+00:00,2026-01-13 15:15:00+00:00,85,1,30000,12000.0,60000.0,142.277096,-673.8532320627869,-530.4898198466028,143.3634122161841,179.20347487595103,-5.615443600523224,STOP,1,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-14 17:45:00+00:00,2026-01-14 18:45:00+00:00,90,1,30000,12000.0,60000.0,146.72876349999999,-800.4051611901295,-657.1937937426206,143.21136744750885,179.01313340289133,-6.670043009917746,STOP,5,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,PULLBACK_RETEST_40_30_30,LONG,BULL,2026-01-09 07:30:00+00:00,2026-01-09 08:00:00+00:00,95,1,30000,12000.0,60000.0,140.654666,-806.9515401468973,-663.748037792248,143.2035023546493,179.00328726762177,-6.724596167890811,STOP,3,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
SOLUSDT,PULLBACK_RETEST_30_30_40,LONG,BULL,2026-01-09 07:30:00+00:00,2026-01-09 08:00:00+00:00,95,1,30000,9000.0,45000.0,140.654666,-605.213655110173,-497.8110283441861,107.40262676598697,134.25246545071633,-6.7245961678908115,STOP,3,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-11-10 20:15:00+00:00,2025-11-10 21:30:00+00:00,85,1,30000,12000.0,60000.0,2.55733025,-1093.8807209708784,-951.0219473076476,142.8587736632308,178.57172906604865,-9.11567267475732,STOP,5,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_A_OLDEST
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-11-26 01:45:00+00:00,2025-11-26 03:30:00+00:00,85,1,30000,12000.0,60000.0,2.2108112500000003,-941.848638905104,-798.807207554169,143.041431350935,178.80039417334586,-7.848738657542534,STOP,8,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_A_OLDEST
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-11-27 02:45:00+00:00,2025-11-27 03:30:00+00:00,90,1,30000,12000.0,60000.0,2.23464695,-854.6812920528182,-711.5351342138748,143.14615783894334,178.93149894049702,-7.122344100440152,STOP,4,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_A_OLDEST
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-04 03:30:00+00:00,2026-01-04 12:15:00+00:00,90,1,30000,12000.0,60000.0,2.0406564,1116.7164970619215,1262.231174471287,145.51467740936553,181.89659604919316,9.305970808849345,TP3_4.0R,35,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-05 00:15:00+00:00,2026-01-05 04:15:00+00:00,90,1,30000,12000.0,60000.0,2.09904385,819.082179994675,964.2392671152132,145.15708712053825,181.44893669913463,6.825684833288959,STOP,17,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-06 13:15:00+00:00,2026-01-06 15:30:00+00:00,95,1,30000,12000.0,60000.0,2.3769601000000002,-1035.335569218496,-892.4064569668561,142.92911225163976,178.6597843845372,-8.627796410154133,STOP,10,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
XRPUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-14 17:30:00+00:00,2026-01-14 18:15:00+00:00,90,1,30000,12000.0,60000.0,2.1616376,-1074.590273690696,-931.708323679111,142.88195001158505,178.6007430224242,-8.954918947422467,STOP,4,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2025-11-11 02:15:00+00:00,2025-11-11 05:00:00+00:00,85,1,30000,12000.0,60000.0,0.18157195,-1075.076168022264,-932.1948017844054,142.8813662378587,178.60001220904735,-8.9589680668522,STOP,12,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_A_OLDEST
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-03 13:15:00+00:00,2026-01-03 16:00:00+00:00,85,1,30000,12000.0,60000.0,0.142823915,-588.3774043982344,-444.9112979557814,143.46610644245305,179.33203549972944,-4.903145036651954,STOP,12,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-04 18:00:00+00:00,2026-01-04 19:00:00+00:00,85,1,30000,12000.0,60000.0,0.15231813500000002,-1017.6334248882895,-874.6830445417396,142.9503803465499,178.68640944076668,-8.480278540735746,STOP,5,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-05 02:30:00+00:00,2026-01-05 09:00:00+00:00,90,1,27600,11040.0,55200.0,0.15106626,-1112.241773852628,-980.938900533268,131.30287331936006,164.12675382186868,-10.07465374866511,STOP,27,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-06 04:15:00+00:00,2026-01-06 06:15:00+00:00,90,1,30000,12000.0,60000.0,0.152698705,-999.4765120175703,-856.5043171982081,142.97219481936213,178.71371849535376,-8.328970933479752,STOP,9,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
DOGEUSDT,MARK_INDEX_LONG_REFERENCE,LONG,BULL,2026-01-14 19:30:00+00:00,2026-01-14 22:30:00+00:00,85,1,23700,9480.0,47400.0,0.14928359,-1122.447864447868,-1009.8997441408369,112.54812030703098,140.6831946465462,-11.840167346496496,STOP,13,,EXCLUDED_UNAVAILABLE_FOR_WINDOW,False,FOLD_C_LATEST_IN_WINDOW
