symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,funding_pnl_krw,net_pnl_before_funding_krw,fold
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-03 12:15:00+00:00,2026-02-03 17:30:00+00:00,90,1,30000,12000.0,60000.0,78059.9342,1318.4474436603418,1460.694610128188,142.24716646784617,177.81264472613145,10.98706203050285,TP3_4.0R,21,0.0,1318.4474436603418,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-04 10:30:00+00:00,2026-02-04 14:30:00+00:00,85,1,30000,12000.0,60000.0,75957.99185,149.24002945690037,292.8885631810831,143.6485337241827,179.56173016838926,1.2436669121408366,STOP,17,0.0,149.24002945690037,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-04 22:45:00+00:00,2026-02-05 16:45:00+00:00,85,3,22100,22100.0,110500.0,71426.52009556809,4279.111700820995,4538.865062745699,259.75336192470513,324.7026454332136,19.362496383805407,STOP,73,0.0,4279.111700820995,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-06 00:45:00+00:00,2026-02-06 01:45:00+00:00,90,1,14500,5800.0,29000.0,62825.12075,-1158.4934205611783,-1087.5883145836779,70.9051059775004,88.62913481372186,-19.974024492434108,STOP,5,0.0,-1158.4934205611783,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-10 13:30:00+00:00,2026-02-10 14:15:00+00:00,90,1,30000,12000.0,60000.0,68590.85915,-781.1474283475903,-636.3837678261989,144.76366052139144,180.95355093374624,-6.5095619028965865,STOP,4,0.0,-781.1474283475903,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-11 07:45:00+00:00,2026-02-11 14:00:00+00:00,90,1,30000,12000.0,60000.0,67032.69989999999,-913.5274036248944,-768.6050775318562,144.9223260930382,181.15158584594752,-7.6127283635407865,STOP,26,0.0,-913.5274036248944,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-12 06:15:00+00:00,2026-02-12 09:45:00+00:00,85,1,30000,12000.0,60000.0,66981.17730000001,-843.1235821989031,-698.2856394315852,144.83794276731788,181.04626467054842,-7.026029851657527,STOP,15,0.0,-843.1235821989031,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-13 07:45:00+00:00,2026-02-13 08:45:00+00:00,90,1,30000,12000.0,60000.0,65998.0542,-741.7775236802646,-597.0610504197609,144.7164732605037,180.89465520124537,-6.181479364002205,STOP,5,0.0,-741.7775236802646,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-16 05:15:00+00:00,2026-02-16 09:00:00+00:00,85,1,30000,12000.0,60000.0,68335.44285,-721.823431857293,-577.130874807524,144.69255704976902,180.86480471355463,-6.015195265477442,STOP,15,0.0,-721.823431857293,FOLD_A_OLDEST
BTCUSDT,PRICE_ONLY_REFERENCE,SHORT,BEAR,2026-02-17 07:00:00+00:00,2026-02-17 16:00:00+00:00,85,2,30000,21000.0,105000.0,68056.1691878993,761.6782065555719,1012.4632506547862,250.78504409921422,313.4842885059894,3.627039078836057,STOP,37,0.0,761.6782065555719,FOLD_A_OLDEST
